år,veckonummer,Antal_fall_vecka,Antal_fall_100000inv_vecka,Antal_fall_100000inv_14dagar,Kum_antal_fall,Kum_fall_100000inv,Antal_nyaintensivvårdade_vecka,Kum_antal_intensivvårdade,Antal_avlidna_vecka,Antal_avlidna_milj_inv_vecka,Kum_antal_avlidna,Kum_antal_avlidna_milj_inv
2020,6,1,0,0,1,0,0,0,0,0,0,0
2020,7,0,0,0,1,0,0,0,0,0,0,0
2020,8,0,0,0,1,0,0,0,0,0,0,0
2020,9,13,0,0,14,0,0,0,0,0,0,0
2020,10,211,2,2,225,2,3,3,0,0,0,0
2020,11,838,8,10,1063,10,16,19,5,1,5,1
2020,12,924,9,17,1987,19,88,107,44,4,49,5
2020,13,1957,19,28,3944,38,238,345,190,18,239,23
2020,14,3228,31,50,7172,69,277,622,451,44,690,67
2020,15,3740,36,67,10912,106,289,911,664,64,1354,131
2020,16,3751,36,72,14663,142,250,1161,657,64,2011,195
2020,17,4201,41,77,18864,183,238,1399,546,53,2557,248
2020,18,3832,37,78,22696,220,188,1587,543,53,3100,300
2020,19,4153,40,77,26849,260,156,1743,510,49,3610,350
2020,20,3869,37,77,30718,297,124,1867,380,37,3990,386
2020,21,3659,35,72,34377,333,111,1978,360,35,4350,421
2020,22,4281,41,76,38658,374,122,2100,272,26,4622,448
2020,23,6021,58,99,44679,433,123,2223,245,24,4867,471
2020,24,7123,69,127,51802,502,91,2314,234,23,5101,494
2020,25,7073,68,137,58875,570,74,2388,200,19,5301,513
2020,26,7459,72,140,66334,642,56,2444,138,13,5439,527
2020,27,4275,41,113,70609,684,34,2478,98,10,5537,536
2020,28,2179,21,62,72788,705,14,2492,84,8,5621,544
2020,29,1622,16,37,74410,720,14,2506,57,6,5678,550
2020,30,1316,13,29,75726,733,12,2518,30,3,5708,553
2020,31,1556,15,28,77282,748,11,2529,18,2,5726,554
2020,32,2014,20,35,79296,768,16,2545,18,2,5744,556
2020,33,2052,20,40,81348,788,13,2558,16,2,5760,558
2020,34,1687,16,36,83035,804,8,2566,19,2,5779,560
2020,35,1200,12,28,84235,816,7,2573,10,1,5789,561
2020,36,1332,13,25,85567,829,8,2581,12,1,5801,562
2020,37,1592,15,28,87159,844,8,2589,13,1,5814,563
2020,38,2080,20,35,89239,864,7,2596,12,1,5826,564
2020,39,2919,28,48,92158,892,8,2604,11,1,5837,565
2020,40,3642,35,63,95800,928,14,2618,17,2,5854,567
2020,41,4278,41,76,100078,969,22,2640,22,2,5876,569
2020,42,5620,54,95,105698,1023,19,2659,16,2,5892,571
2020,43,9156,89,143,114854,1112,37,2696,43,4,5935,575
2020,44,18475,179,268,133329,1291,59,2755,82,8,6017,583
2020,45,25405,246,425,158734,1537,110,2865,157,15,6174,598
2020,46,31320,303,549,190054,1840,120,2985,235,23,6409,621
2020,47,31945,309,612,221999,2150,153,3138,332,32,6741,653
2020,48,35559,344,653,257558,2494,170,3308,417,40,7158,693
2020,49,36840,357,701,294398,2851,165,3473,476,46,7634,739
2020,50,43631,422,779,338029,3273,165,3638,499,48,8133,788
2020,51,46180,447,869,384209,3720,187,3825,644,62,8777,850
2020,52,37137,360,807,421346,4080,207,4032,639,62,9416,912
2020,53,41336,400,760,462682,4480,232,4264,660,64,10076,976
2021,1,39467,382,782,502149,4862,187,4451,637,62,10713,1037
2021,2,28957,280,662,531106,5143,150,4601,578,56,11291,1093
2021,3,23253,225,505,554359,5368,121,4722,443,43,11734,1136
2021,4,20686,200,425,575045,5568,92,4814,153,15,11887,1151
